Date Occured,Time Occured,City,State,Country,Shape,Summary,unique_id
1/10/2024,20:10,Yakima,WA,USA,Light,"Flying from DEN to PSC at 34,000’. Witnessed moving lights moving very fast and would appear and disappear. ATC had nothing on radar.",128
1/8/2024,1:00,Guelph,ON,Canada,Triangle,Possible TR3B black manta sighting.,129
1/7/2024,20:40,Roseburg,OR,USA,Light,2 lights looked to be spinning.,130
1/5/2024,21:10,Sault Ste. Marie,ON,Canada,Light,Erratically moving lights that would appear and disappear staying in the same approximate location in relation to the stars,131
1/2/2024,22:40,Oklahoma City,OK,USA,Oval,Seen the blue white oval object dart right to left from upstairs windows. When I fist witnessed It was stationary.,132
1/2/2024,18:45,Newtown,CT,USA,Light,"Elongated white light moving slowly or not at all, which then also displayed a series of colored lights in a line as I got closer.",133
12/26/2023,20:40,Bunnell,FL,USA,Changing,What appeared as bright star like points of light which would suddenly appear increasing in brightness and then fade away.,134
12/23/2023,3:30,,,International Waters,Light,"Objects at very high altitude (greater than 50,000' MSL) maneuvering and emitting white light that gradually varied from bright to dim",135
12/20/2023,3:00,Horace,KS,USA,Unknown,4 white lights of changing intensity resembling stars moving in a portion of the night sky.,136
12/16/2023,22:45,Little Rock,AR,USA,Light,5 Lights Moving Rapidly and Changing Direction,137
12/16/2023,20:50,Ferndale,MI,USA,Sphere,A simple sighting which lasted one second.,138
12/14/2023,19:45,Pawleys Island,SC,USA,Triangle,4-5 orange solid lights arranged in a triangle shape,139
12/13/2023,23:00,Greensboro,NC,USA,Orb,"AM sighting of a bright intense light that was hovering over tree line and a PM sighting with 2 crafts of the same ""look"".",140
12/8/2023,21:00,Lowell,MI,USA,Disk,Greyish disc with two bright white lights one on each side on front circumference and multi colored red green lights,141
12/4/2023,1:00,Lorain,OH,USA,Sphere,"A Semi Transparent, White Colored, Luminescent Spherical Cloud circled directly above my home before disappearing entirely.",142
12/3/2023,23:59,Memphis,IN,USA,Light,Unexplained bright shiny light,143
11/30/2023,20:25,Denton,NE,USA,Unknown,I observed an aircraft with two bright lights to be stagnant and hovering over my pasture approximately 100' in the air.,144
11/30/2023,3:10,Franksville,WI,USA,Orb,4 Objects Moving and Dimming On and Off,145
11/28/2023,19:14,Ridge,MD,USA,Other,Object hovered approx 1/2 mile above Potomac River,146
11/28/2023,0:30,,Yucatan,Mexico,Diamond,Went to room to sit on balcony and spotted bright light moving very fast,147
11/26/2023,21:15,Thedford,NE,USA,Circle,3 lighted objects circling at high altitude that were both bright and dim,148
11/25/2023,13:22,Brinnon,WA,USA,Disk,"Taking picture of dog, raising camera to zoom object low high speed pass pushed shutter repeatedly got one image and was gone. Silent",149
11/24/2023,20:15,Dothan,AL,USA,Rectangle,"Blue rectangle appears above the trees, about 30' high, above us, and then shoots off to the West.",150
11/21/2023,20:30,Stillwater,OK,USA,Light,As many as 4 lights were simultaneously observed corroborated with no less than 6-7 other aircraft on Denver Center,151
11/21/2023,19:00,Oklahoma City,OK,USA,Light,Points of light maneuvering in upper atmosphere,152
11/20/2023,17:15,Halfway,MD,USA,Light,At 1st glance lights (4) appeared slightly higher than street lamps but change into just 2 larger bright lights that tilted & vanished,153
11/18/2023,12:15,Oro Valley,AZ,USA,Sphere,Metallic UAP or Balloon,154
11/17/2023,12:58,Lincolnshire,IL,USA,Other,"Craft was total stationary and totally silent,just above a tree.",155
11/16/2023,12:45,Boyce,VA,USA,Disk,Object was above arboretum. Moving rapidly sideways and up and down then hovering,156
11/15/2023,21:00,Lincolnshire,IL,USA,Rectangle,"Platform type craft traveling low over forest with lights illuminating the top but no lights on bottom, at night.",157
11/14/2023,23:00,Chicago,IL,USA,Cigar,"I saw a cigar shaped saucer with four lights on the underbelly of the craft, and a blue haze was being emitted from the underbelly.",158
11/13/2023,20:20,Cheyenne,WY,USA,Light,Saw a light go from dim to very bright,159
11/13/2023,15:34,Milan,IN,USA,Triangle,Triangle black craft,160
11/12/2023,18:55,Nixon,PA,USA,Disk,Driving at night and saw a green lit object drop down and zoom off,161
11/11/2023,22:40,Slippery Rock,PA,USA,Triangle,Triangle shaped craft that moved like nothing I’ve ever seen.,162
11/11/2023,21:30,Lakeland,FL,USA,Triangle,I saw a HUGE triangle craft with at least 7 bright white lights in a perfect “V” at the front and no lights on the backend of it,163
11/11/2023,20:04,Midvale,UT,USA,Light,Unidentified lights flying above.,164
11/11/2023,18:30,Windham,ME,USA,Rectangle,Floating rectangle with 3 lights,165
11/10/2023,6:13,Denver,CO,USA,Orb,"Basketball sized ball of light, about the same brightness as a flood light flying low and slow.",166
11/9/2023,20:15,,KY,USA,Light,"Lighted objects ""dancing"" and performing seemingly impossible aeronautic maneuvers",167
11/9/2023,9:45,Topeka,KS,USA,Disk,There was a black but yet reflective basic saucer shaped UAP.,168
11/9/2023,6:45,Elkin,NC,USA,Disk,A silver metallic disc rising vertically from the ground.,169
11/8/2023,20:08,Wimberley,TX,USA,Orb,Large helicopter chasing an amber glowing orb,170
11/8/2023,4:28,Hartford,CT,USA,Orb,Craft swooped down fast & floated with bright white rotating lights & 2 beams of light darting around & on & off,171
11/6/2023,22:30,Blairsville,GA,USA,Triangle,Triangle craft with green lights gliding through sky,172
11/5/2023,20:28,Hamilton,NJ,USA,Orb,"Object was briefly stationary, before traveling in an apparent fish hook shape. Then vanished.",173
11/5/2023,19:52,Santa Fe,FL,USA,Formation,"While driving (dark) noticed 2 large lights to left. Once at field, saw underside, 3 lights(triangle) and small ones. Drove away.",174
11/5/2023,10:32,Mount Morris,PA,USA,Orb,"Large extremely fast moving orb moving across the sky that stopped in midair, turned, and continued in the direction",175
11/2/2023,22:25,Sioux Falls,SD,USA,Chevron,Low flying silent craft with stealth coating.,176
10/31/2023,19:00,Casa Grande,AZ,USA,Light,Rectangular light fixed in the Northwestern sky for over 3 hours.,177
10/30/2023,19:52,Garden City,KS,USA,Light,A light moving southwest to the east then changing to a southeast heading,178
10/29/2023,11:45,Bayport,NY,USA,Orb,"Son playing outside , witnessed object",179
10/29/2023,5:30,Cowes,England,United Kingdom,Triangle,"Large, quiet, triangular craft flew over 2 witnesses at 05:30 on Sunday morning, off the central southern coast of England",180
10/27/2023,18:46,San Diego,CA,USA,Orb,Falling Fire Ball Disseminates into Five Hovering Orbs of Light,181
10/24/2023,21:30,Deshler,OH,USA,Light,Bright rectangular light on the ground,182
10/24/2023,9:33,Government Hill,AZ,USA,Triangle,Enormous white triangle craft with point straight down.,183
10/23/2023,3:30,Airborne (Oman),,Oman,Light,Observed steady lights at high altitude at a specific location in the sky.,184
10/22/2023,3:30,Avondale,TX,USA,Triangle,Slow flying and rotating huge Triangle,185
10/21/2023,9:00,Klamath Falls,OR,USA,Cylinder,Heard loud crash and then saw object fly by.,186
10/19/2023,22:20,Two Harbors,MN,USA,Changing,Shape shifting dark black triangle moved across the sky,187
10/19/2023,19:00,Alexandria,VA,USA,Unknown,Orange fiery objects flying low in a procession,188
10/19/2023,3:00,Las Vegas (in flight),NV,USA,Star,"While operating an airline flight at 37,000’ both pilots witnessed three lights at very high altitude moving in random patterns.",189
10/18/2023,19:33,Forestville,MD,USA,Fireball,white roundish size object captured on doorbell cam,190
10/17/2023,19:39,Not sure,MN,USA,Formation,"Three series of 3 slightly yellow/ white,lights spaced wide apart that then became one bright light, then went back to three..",191
10/17/2023,2:00,Middle of the Caspian Sea directly east of Baku,,Unspecified,Light,Two commercial airline pilots saw a light 150km away that was still then suddenly accelerated at incredible speed and disappeared,192
10/16/2023,8:58,,AR,USA,Cylinder,Lower altitude flyby of Allegiant Flight 3145 on a 180 flight trajectory.,193
10/14/2023,4:00,Austin,TX,USA,Unknown,"Perfectly silent craft drifts to the east, bright light seen, object came to a standstill several times",194
10/13/2023,19:03,Green Valley,AZ,USA,Orb,A very bright glowing white orb passed near our house and jetted into infinity without making a sound.,195
10/13/2023,19:00,"Sonoita, Arizona",AZ,USA,Light,"Bright light lasting for 5 to 6 total Mississippi seconds flew east to west through clouds, and disappeared, ridiculous speed no sound.",196
10/12/2023,23:40,Carrollton,TX,USA,Unknown,A blinding light shown down on my house even though there was no storm/ rain event. The light was blinding and illuminated my yard,197
10/12/2023,20:35,Waynesfield,OH,USA,Triangle,"Huge, triangular craft, bright strobing lights down each side",198
10/9/2023,3:30,Idaho Falls,ID,USA,Triangle,"Orange lights in the sky with smooth but random movement that joined in formation to form a triangle, then accelerated away from us.",199
10/8/2023,19:37,Powell Butte,OR,USA,Disk,Large disk,200
3/2/2024,22:23,Beckley,WV,USA,Orb,My captain and I saw moving stars. Looked kinda like satellites.,201
2/28/2024,22:00,Felton,CA,USA,Other,"Vaguely cube shaped, with multicolored lights and some motion.",202
2/28/2024,21:00,Mogi das Cruzes,São Paulo,Brazil,Orb,At least 40 orbs of light rising from the horizon in the distance,203
2/28/2024,19:06,Manitowoc,WI,USA,Triangle,Light flicker on house then looked up and seen triangle with 6 lights.,204
2/27/2024,21:00,,-,USA,Orb,Multiple orbs of light over the Pacific Ocean maneuvering in a purposeful way for over two hours,205
2/25/2024,21:12,Washington,DC,USA,Light,White light illuminated stationary before rapidly heading North and disappearing,206
2/24/2024,10:30,Great Hallingbury,England,United Kingdom,Cigar,UFO looked like a huge elongated wing seen edge on. It was hovering about 2 km from my location. It then abruptly vanished.,207
2/19/2024,21:15,Hilliard,FL,USA,Light,"While operating an aircraft in cruise at FL400, the crew observed 3 lights appearing and disappearing for approximately 1 hr 25 min.",208
2/18/2024,16:33,Mesa,AZ,USA,Triangle,One triangular shaped craft hovering over area doing aerobatics in daytime,209
2/17/2024,20:43,Rockford,IL,USA,Light,Triangle formation of lights with other lights making passes through and around the formation,210
2/16/2024,21:15,Pittsburgh,PA,USA,Light,8 Lights Moving in counter clockwise pattern with other lights making passes through and below the formation,211
2/10/2024,6:09,,Rio Grande do Sul,Brazil,Disk,Sighting of lights throughout the entire night with direct sighting of the ship in the shape of a flying saucer at dawn.,212
2/6/2024,13:33,Brandon,MS,USA,Teardrop,Silver UAP at approximately 5000ft the swims through the sky in an organic matter way with exhaust trail at faster than speed of sound,213
2/6/2024,3:30,Stockbridge,GA,USA,Cigar,"Approximately 330AM in a NNE sky, a cigar shaped object traveled around the Dubhe star in the Big Dipper.",214
2/5/2024,22:32,Hoquiam,WA,USA,Light,Light moving erratically,215
2/5/2024,4:55,Omaha,NE,USA,Light,"Flying to the East at 39,000 saw 6 UFO's at diff speeds, altitudes (btn 50, and 80 thousand feet) for ~ 1 hr",216
2/1/2024,22:00,Elleker,Western Australia,Australia,Other,"Banana shaped UFO yellow lights down side, with blue halo. Hovering moving slightly side to side. Halo flashed like surrounding orb.",217
2/1/2024,6:35,Auburn,AL,USA,Diamond,This came extremeley close to the left of our commercial plane left wing - I did notify Delta Airlines once we landed.,218
1/27/2024,3:00,Garden Valley,ID,USA,Disk,My wife saw a large object with white lights hovering over our property.,219
